Job Title,Company Name,Rating,Job Description,size,founded,type,industry,sector,revenue,salary,job_state,python,java,javascript,sql,excel,spark,aws,azure,job_simp,seniority,desc_len
"Front End Engineer, MADS- Measurement and Data Science",Amazon.com Services LLC,3.8,"Professional non-internship experience with front end, web or mobile software development using JavaScript, HTML and CSS
Job summary
Front End Engineer- AMC

About the role

We are looking for an engineer who is excited about solving challenging engineering problems, has a proven track record of building web applications and has the ability to support highly available systems. In this role you will partner with product leaders and business partners to design, implement and launch new features that enable advertisers to build, manage and serve innovative ads that speak to their customers. The right candidate will possess strong technical skills, can dive deep with demonstrated experience in leading projects and is able to mentor junior team members. There is lots of opportunity for growth in this role as the team is expanding and needs engineers who are motivated to constantly improve technical strategy, operational efforts and development life cycle.

Enjoy innovating on behalf of customers, simplifying complex problems and tackling tough design challenges? Come be part of this energetic, bright, and fun-loving team!

The pay range for this position in Colorado is $93,800/yr; however, base pay offered may vary depending on job-related knowledge, skills, and experience. A sign-on bonus and restricted stock units may be provided as part of the compensation package, in addition to a full range of medical, financial, and/or other benefits, dependent on the position offered. This information is provided per the Colorado Equal Pay Act. Base pay information is based on market location. Applicants should apply via Amazon’s internal or external careers site.

#sspajobs

Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.",10000+ Employees,1994,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),93800,CO,0,1,1,0,0,0,0,0,na,na,2108
Jr. Data Scientist,Net2Aspire LLC,-1.0," Apply Statistical and Machine Learning methods to specific business problems and data.
 Ensure data quality throughout all stages of acquisition and processing, including such areas as data sourcing/collection, ground truth generation, normalization, transformation, cross-lingual alignment/mapping, etc.
 Using tools such as Tableau, Looker and GoogleData Studio to aggregate data from across our software tools to build and develop dashboards for both client-facing and internal purposes across the company that feature relevant KPIs and metrics
 Create data dashboards and other data visualization tools to track progress to inform continuous quality improvement of the Congregate Settings Investigation and Response Unit.
 Design, develop, evaluate, and release highly innovative models elevate the customer experience and track impact over time",-1,-1,-1,-1,-1,-1,82500,Remote,0,0,0,0,0,0,0,0,data scientist,jr,855
Healthcare Data Scientist,Humbi Health LLC,-1.0,"Humbi Health is looking for highly analytical individuals who are skilled in utilizing various data analytical tools to manipulate data and derive meaningful business insights for client consumption.
Our clients are health plans, drug manufacturers and healthcare providers (physician practices, hospitals and population health management organizations).
The duties of this position include: organizing and managing large and varied data sets, analyzing healthcare data to optimize business operations and communicating the findings through dissemination of data visualization exhibits and tabular reports.
Healthcare Data Analyst Responsibilities:
· Compiling and organizing healthcare data.
· Analyzing data to assist in delivering optimal healthcare management and decision making.
· Using healthcare data to achieve administrative needs and goals.
· Investigating data to find patterns and trends.
· Understanding healthcare business operations.
· Utilizing different data sources for analyses.
· Converting data into usable information that is easy to understand.
· Developing reports and presentations.
· Communicating analytic insights to management.",-1,-1,-1,-1,-1,-1,175000,Remote,0,0,0,0,0,0,0,0,data scientist,na,1157
"CO-OP, DATA SCIENCE",PUMA,4.0,"INTERNS
CO-OP, DATA SCIENCE
Somerville, Massachusetts, United States of America

SPEED & SPIRIT is what we look for in our candidates, defined by some simple values that inspire us to BE DRIVEN in our performance, BE VIBRANT in our sporting legacy, BE TOGETHER in our team spirit, and BE YOU to let our individual talent and experience shine. Applying for a job at PUMA is easy and all genders are welcome. Simply click APPLY ONLINE and follow the steps to upload your application.
YOUR MISSION",10000+ Employees,1948,Company - Private,"Department, Clothing & Shoe Stores",Retail & Wholesale,$5 to $10 million (USD),105886,MA,0,0,0,0,0,0,0,0,na,na,494
Data Science Contractor,Rhythm Energy Inc,3.4,"Data Science Contracting Opportunities
About Rhythm:
Rhythm is a renewable energy and technology company empowering you to take control of your budget and your carbon footprint. We combine energy market expertise with technology, design, and data science to create best-in-class products and services that are simple, delightful, and seamlessly integrated within the rhythm of your life. Our mission is to upend the energy status quo by setting a new standard of service excellence and customer partnership. We are a mission-driven, results-oriented group of engineers, businesspeople, designers, and artists who love solving tough problems, all while making a positive impact on our communities.
Our team has a variety of Data Science project opportunities for independent contractors. Depending on your skills and experience, we need help with projects such as:",1 to 50 Employees,Unknown,Unknown / Non-Applicable,-1,-1,-1,105886,Remote,0,0,0,0,1,0,0,0,na,na,863
Data Scientist 1,The Coca-Cola Company,4.0,"About Enterprise Data and Analytics:
The Data and Analytics (DnA) Services organization is transforming how Coca-Cola leverages data across the entire company. We passionately develop and scale leading data capabilities for Coca-Cola, driving growth and delighting consumers through innovation and agile, insight-led decision making.
Job Description Summary:
You will play a critical role in the growing Data Science Services team in DnA, where you will be responsible for developing advanced analytics and machine learning models across domains including: marketing, supply chain optimization, forecasting, digital transformation, and food and beverage science. You will work closely with IT partners, process owners and business stakeholders to deliver impactful data science solutions at significant scale. You will have the opportunity to do your best work every day and deliver disruptive innovation by tapping into new datasets, leveraging the latest cloud technologies, and being supported by a robust analytics and IT organization.
Data Science; Microsoft Office; Communication; Microsoft Azure Databricks; Digital Transformation; Computer Vision; Azure Machine Learning Studio; Artificial Intelligence Technologies; Cloud Platform; Deep Learning; Agile Methodologies; Machine Learning",10000+ Employees,1886,Company - Public,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD),88155,GA,0,0,0,0,0,0,0,1,data scientist,na,1293
Data Science Fellow,Learning Ally,3.6,"Data Science Fellow
Learning Ally is a leading nonprofit education solutions organization that transforms the lives of struggling learners by delivering proven literacy solutions that help students reach their potential. Our mission is to radically change education, transforming the lives of children by providing reading interventions and solutions to help them succeed academically, build self-confidence, and thrive in school and beyond. In the US, 65% of fourth graders read below proficiency and are 400% more likely to drop-out of high school. For most “at risk” students (students of color, low income, English Language Learners and students with learning disabilities) the problem is even more acute.
Learning Ally seeks to break this cycle. With early student assessment, intervention and accommodation and professional development for educators, Learning Ally can identify and prevent learning issues by working with schools and educators to support new and struggling readers. Our solutions build a strong foundation for independent, engaged learners who are empowered to achieve socially, emotionally, and academically, regardless of background or learning difference.",201 to 500 Employees,1948,Nonprofit Organization,Primary & Secondary Schools,Education,$10 to $25 million (USD),88155,Remote,0,0,0,0,0,0,0,0,na,na,1181
Data Science Associate (Remote),pulseData,5.0,"pulseData is changing the way healthcare data is utilized within major healthcare sectors. As a series A health-tech startup, we provide the insights necessary for medical staff to understand who has and is at risk of major chronic illnesses. We have rooted ourselves within the Kidney space, and have the capabilities of bringing our approach to many more patient populations given our capabilities.

We recently raised $16.5M in our series A and are growing fast. This means we are onboarding brilliant people and providing endless areas for our employees to grow their careers. We believe in trust and transparency, and enjoy a remote friendly working environment that promotes collaboration and diversity.
The Role:
In your role as a Data Science Associate, you will use machine learning to deliver insightful and actionable intelligence and predictive solutions to our team to improve Healthcare growth in our business. You will gain experience understanding healthcare and developing data driven solutions to improve care delivery, while working closely with other team members of our Data Science and engineering team to deliver value to our business partners. Aside from supporting our data science model creation and data teams, you'll also assist the product team with growth opportunities.",1 to 50 Employees,2015,Company - Private,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable,49680,NY,0,0,0,0,0,0,0,0,na,na,1300
Data Analyst,SunPower,3.9,"Do you want to change the world? We do, too.
Solar penetration is less than 1%, but just one hour of sunlight, if harnessed, could power the entire world for a year. We have the opportunity to change the way energy is produced, distributed and consumed, and we’re looking for talented, committed people to help us drive our growth and achieve our goals.

SunPower is a solar energy solutions company with a rich heritage of pioneering the best solar technologies in the world. Our solutions are unrivaled in terms of long-term reliability, efficiency, and performance. SunPower offers the only solar + storage solution designed and warranted by one company that gives customers control over electricity consumption. Through design, installation, maintenance, and monitoring, SunPower provides its world-class solar solutions to residential and commercial customers across the U.S.

SunPower is changing the way our world is powered every day with a brilliant, passionate, and driven team of more than 2,500 in North America and the Philippines. In an industry that is reshaping the world’s energy future, there’s no better place to be than SunPower.

We believe that our employees create our brand – with each project, each communication, each task completed and each interaction. SunPower welcomes the forward thinkers, the future savers of the world, the freedom chasers and all those demanding better, cleaner energy.",5001 to 10000 Employees,1985,Company - Public,Energy & Utilities,"Energy, Mining & Utilities",$2 to $5 billion (USD),49680,Remote,0,0,0,0,0,0,0,0,analyst,na,1420
Data Science I (Remote),MediaMath,3.1,"This job can be performed remotely from anywhere in the US.
MediaMath's strength is in numbers. Our technology analyzes 200 billion customer opportunities daily– more volume than the top 10 stock exchanges in the world, combined. Over 700 Mathletes in 16 global offices are trusted by two-thirds of the Fortune 500 and partner with thousands of marketers to ensure brands connect with right audiences, in the right place, in the right time.
We believe consumers want to have meaningful conversations with their favorite and yet-to-be-discovered brands across all digital touchpoints. Our omnichannel, integrated programmatic platform unites digital media and big data to maximize the return on every marketing dollar spent by making advertising relevant, personalized, measurable and controllable.
From inventing the DSP category in 2007 to being named a DMP Forrester Challenger (our first year participating in the DMP Wave!) in 2017, we continue to deliver results for marketers more quickly and accurately than any other solution.

Technology is changing the way brands interact with consumers. MediaMath is powering that change. Come be a part of it!",501 to 1000 Employees,2007,Company - Private,Publishing,Media & Communication,$100 to $500 million (USD),102479,NY,0,0,0,0,0,0,0,0,na,na,1155
