,Job Title,Company Name,Location,Salary Estimate,Rating,Job Description,size,founded,type,industry,sector,revenue
0,Data Scientist,Agama Solutions,"San Francisco, CA",$75.00 /hr (est.),3.8,"Position Title: Data Scientist

Location: Bay Area –CA (100% Remote)
Duration: 12+ months
Rate $75/hr on W2
Vendor Gspann
Client Kohl",51 to 200 Employees,Contract,Computer Hardware Development,Information Technology,$10 to $25 million (USD),-1
1,Entry Level Data Analyst (Part-time),CORMAC,Remote,$75.00 /hr (est.),3.4,"HUB Zone residence is a requirement for this job.

Please check if you qualify for this position at the link below.
HUBZone Map (sba.gov) to confirm residence and indicate this in your application.

This is a remote based, part time, about 10 hours per week position, which allows for relatively flexible hours, but at least half of the work will be completed during business hours when some of the communications that are related to the work may need to occur.
17/hr
We're looking for aspiring Data Analysts who are passionate about Innovation and Health Information Technology. As a Data Analyst, you will gain real-world experience that will help further enhance your academic and career goals.",Unknown,2002,Company - Private,Software Development,Information Technology,Less than $1 million (USD)
2,"Front End Engineer, MADS- Measurement and Data Science",Amazon.com Services LLC,"Boulder, CO","$93,800 /yr (est.)",3.8,"Professional non-internship experience with front end, web or mobile software development using JavaScript, HTML and CSS
Job summary
Front End Engineer- AMC

About the role

We are looking for an engineer who is excited about solving challenging engineering problems, has a proven track record of building web applications and has the ability to support highly available systems. In this role you will partner with product leaders and business partners to design, implement and launch new features that enable advertisers to build, manage and serve innovative ads that speak to their customers. The right candidate will possess strong technical skills, can dive deep with demonstrated experience in leading projects and is able to mentor junior team members. There is lots of opportunity for growth in this role as the team is expanding and needs engineers who are motivated to constantly improve technical strategy, operational efforts and development life cycle.

Enjoy innovating on behalf of customers, simplifying complex problems and tackling tough design challenges? Come be part of this energetic, bright, and fun-loving team!

The pay range for this position in Colorado is $93,800/yr; however, base pay offered may vary depending on job-related knowledge, skills, and experience. A sign-on bonus and restricted stock units may be provided as part of the compensation package, in addition to a full range of medical, financial, and/or other benefits, dependent on the position offered. This information is provided per the Colorado Equal Pay Act. Base pay information is based on market location. Applicants should apply via Amazon’s internal or external careers site.

#sspajobs

Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.",10000+ Employees,1994,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD)
3,Jr. Data Scientist,Net2Aspire LLC,Remote,"$82,500 /yr (est.)",-1," Apply Statistical and Machine Learning methods to specific business problems and data.
 Ensure data quality throughout all stages of acquisition and processing, including such areas as data sourcing/collection, ground truth generation, normalization, transformation, cross-lingual alignment/mapping, etc.
 Using tools such as Tableau, Looker and GoogleData Studio to aggregate data from across our software tools to build and develop dashboards for both client-facing and internal purposes across the company that feature relevant KPIs and metrics
 Create data dashboards and other data visualization tools to track progress to inform continuous quality improvement of the Congregate Settings Investigation and Response Unit.
 Design, develop, evaluate, and release highly innovative models elevate the customer experience and track impact over time",-1,-1,-1,-1,-1,-1
4,Healthcare Data Scientist,Humbi Health LLC,Remote,"$175,000 /yr (est.)",-1,"Humbi Health is looking for highly analytical individuals who are skilled in utilizing various data analytical tools to manipulate data and derive meaningful business insights for client consumption.
Our clients are health plans, drug manufacturers and healthcare providers (physician practices, hospitals and population health management organizations).
The duties of this position include: organizing and managing large and varied data sets, analyzing healthcare data to optimize business operations and communicating the findings through dissemination of data visualization exhibits and tabular reports.
Healthcare Data Analyst Responsibilities:
· Compiling and organizing healthcare data.
· Analyzing data to assist in delivering optimal healthcare management and decision making.
· Using healthcare data to achieve administrative needs and goals.
· Investigating data to find patterns and trends.
· Understanding healthcare business operations.
· Utilizing different data sources for analyses.
· Converting data into usable information that is easy to understand.
· Developing reports and presentations.
· Communicating analytic insights to management.",-1,-1,-1,-1,-1,-1
5,Data Engineer (aws),Brilliant Infotech,Remote,$52.50 /hr (est.),4.2,"Title : Data Engineer
Duration: 3+ months Contract
Location: Remote
Job description :
1. Must Haves:
1. 3-5 years of relevant work experience in data engineering
2. Computer Science Degree
3. Experience working in an Agile environment",51 to 200 Employees,2007,Company - Private,Information Technology Support Services,Information Technology,$5 to $10 million (USD)
6,"CO-OP, DATA SCIENCE",PUMA,"Somerville, MA","$105,886 /yr (est.)",4.0,"INTERNS
CO-OP, DATA SCIENCE
Somerville, Massachusetts, United States of America

SPEED & SPIRIT is what we look for in our candidates, defined by some simple values that inspire us to BE DRIVEN in our performance, BE VIBRANT in our sporting legacy, BE TOGETHER in our team spirit, and BE YOU to let our individual talent and experience shine. Applying for a job at PUMA is easy and all genders are welcome. Simply click APPLY ONLINE and follow the steps to upload your application.
YOUR MISSION",10000+ Employees,1948,Company - Private,"Department, Clothing & Shoe Stores",Retail & Wholesale,$5 to $10 million (USD)
7,Data Science Contractor,Rhythm Energy Inc,Remote,"$105,886 /yr (est.)",3.4,"Data Science Contracting Opportunities
About Rhythm:
Rhythm is a renewable energy and technology company empowering you to take control of your budget and your carbon footprint. We combine energy market expertise with technology, design, and data science to create best-in-class products and services that are simple, delightful, and seamlessly integrated within the rhythm of your life. Our mission is to upend the energy status quo by setting a new standard of service excellence and customer partnership. We are a mission-driven, results-oriented group of engineers, businesspeople, designers, and artists who love solving tough problems, all while making a positive impact on our communities.
Our team has a variety of Data Science project opportunities for independent contractors. Depending on your skills and experience, we need help with projects such as:",1 to 50 Employees,Unknown,Unknown / Non-Applicable,-1,-1,-1
8,Data Scientist,Workcog,Remote,$52.50 /hr (est.),4.5,"IMMEDIATE OPENINGS ON Data Scientist
Role: Data Scientist
Location: Raleigh, NC (REMOTE)
Duration: 12 to 24 Months
Visa: Any Visa is acceptable
*** Webcam Interview ***
Required Skills (5+ Years):
Exceptional technical writing skills
Ability to communicate complex data in a simple, actionable way",51 to 200 Employees,2017,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
9,Data Scientist 1,The Coca-Cola Company,"Atlanta, GA","$88,155 /yr (est.)",4.0,"About Enterprise Data and Analytics:
The Data and Analytics (DnA) Services organization is transforming how Coca-Cola leverages data across the entire company. We passionately develop and scale leading data capabilities for Coca-Cola, driving growth and delighting consumers through innovation and agile, insight-led decision making.
Job Description Summary:
You will play a critical role in the growing Data Science Services team in DnA, where you will be responsible for developing advanced analytics and machine learning models across domains including: marketing, supply chain optimization, forecasting, digital transformation, and food and beverage science. You will work closely with IT partners, process owners and business stakeholders to deliver impactful data science solutions at significant scale. You will have the opportunity to do your best work every day and deliver disruptive innovation by tapping into new datasets, leveraging the latest cloud technologies, and being supported by a robust analytics and IT organization.
Data Science; Microsoft Office; Communication; Microsoft Azure Databricks; Digital Transformation; Computer Vision; Azure Machine Learning Studio; Artificial Intelligence Technologies; Cloud Platform; Deep Learning; Agile Methodologies; Machine Learning",10000+ Employees,1886,Company - Public,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD)
